periode_data,jenis,kode_trayek,trayek,jumlah_penumpang
201908,ANGKUTAN EKSEKUTIF ROYAL TRANS,S31,BINTARO - BLOK M VIA JORR,13933
201908,ANGKUTAN EKSEKUTIF ROYAL TRANS,S12,BSD - BUNDERAN SENAYAN,17527
201908,ANGKUTAN EKSEKUTIF ROYAL TRANS,B15,JATI BENING - BLOK M,5362
201908,ANGKUTAN EKSEKUTIF ROYAL TRANS,B16,JATI BENING - KUNINGAN,1359
201908,ANGKUTAN UMUM LAINNYA,GR1,BUNDARAN SENAYAN - HARMONI (BUS GRATIS),410898
201908,ANGKUTAN UMUM LAINNYA,GR2,TANAH ABANG EXPLORER,211974
201908,ANGKUTAN UMUM LAINNYA,TJC,TRANSJAKARTA CARES,4373
201908,ANGKUTAN UMUM LAINNYA,G1,GRATIS GATE NON BRT,3033
201908,ANGKUTAN UMUM LAINNYA,,ROMBONGAN PENGUNGSI PENCARI SWAKA,0
201908,ANGKUTAN UMUM LAINNYA,,LEBARAN BETAWI,0
201908,ANGKUTAN UMUM LAINNYA,,ROMBONGAN AL IRSYAD - MONAS,0
201908,ANGKUTAN UMUM LAINNYA,,POLDA-GBK,0
201908,ANGKUTAN UMUM LAINNYA,,ROMBONGAN PKK DKI - VELDROME,0
201908,ANGKUTAN UMUM LAINNYA,,ROMBONGAN MASJID DKI - JIC,0
201908,ANGKUTAN UMUM LAINNYA,,ROMBONGAN PJK KAMPUNG KB-DKI,0
201908,ANGKUTAN UMUM LAINNYA,,TIKET KERTAS GRATIS PLN PADAM (NON BRT),10138
201908,ANGKUTAN UMUM LAINNYA,,ROMBONGAN DKI BALAIKOTA - PIK,4125
201908,ANGKUTAN UMUM LAINNYA,,ROMBONGAN APRESIASI LURAH/CAMAT DKI,6048
201908,ANGKUTAN UMUM LAINNYA,,ROMBONGAN BUDAYA DISABILITAS,345
201908,ANGKUTAN UMUM LAINNYA,,ROMBONGAN PAWAI OBOR 1 M 1441 H,4624
201908,ANGKUTAN INTEGRASI BUS KECIL,JAK-1,TANJUNG PRIOK-PLUMPANG,82802
201908,ANGKUTAN INTEGRASI BUS KECIL,JAK-2,DUREN SAWIT - KAMPUNG MELAYU,76717
201908,ANGKUTAN INTEGRASI BUS KECIL,JAK-3,LEBAK BULUS - PONDOK LABU,67283
201908,ANGKUTAN INTEGRASI BUS KECIL,JAK-4,GROGOL - TUBAGUS ANGKE,70301
201908,ANGKUTAN INTEGRASI BUS KECIL,JAK-5,SEMPER - ROROTAN,104156
201908,ANGKUTAN INTEGRASI BUS KECIL,JAK-6,KAMPUNG RAMBUTAN - PONDOK GEDE,105893
